,motherhasjob,extracurriculars,job,studytime,age,fatherhasjob,familyincome,extraclasses,familysupport,college,scholarship,GRADE
0,no,no,yes,greater_than_10,17,yes,below_average,yes,yes,yes,no,A
1,no,no,yes,5_to_10hr,17,yes,below_average,yes,yes,yes,yes,A
2,no,no,yes,greater_than_10,15,yes,below_average,yes,yes,yes,yes,A
3,yes,no,yes,greater_than_10,18,no,above_average,no,no,no,no,A
4,yes,no,yes,greater_than_10,17,no,above_average,no,no,yes,yes,A
5,no,no,yes,greater_than_10,16,no,above_average,yes,no,yes,yes,A
6,yes,yes,yes,5_to_10hr,16,yes,below_average,yes,yes,yes,yes,A
7,no,yes,no,5_to_10hr,14,yes,below_average,yes,yes,yes,yes,A
8,no,no,yes,greater_than_10,15,yes,below_average,yes,yes,yes,yes,A
9,no,no,yes,5_to_10hr,14,yes,below_average,yes,yes,yes,yes,A
10,no,no,yes,greater_than_10,15,yes,above_average,no,no,yes,yes,A
11,no,no,yes,greater_than_10,15,yes,above_average,no,no,yes,yes,A
12,no,yes,no,2_to_5hr,17,yes,below_average,yes,yes,yes,yes,A
13,no,no,yes,greater_than_10,18,yes,below_average,yes,yes,yes,yes,A
14,no,no,no,2_to_5hr,15,yes,below_average,yes,yes,yes,yes,B
15,no,no,yes,greater_than_10,16,yes,above_average,no,no,yes,yes,B
16,no,no,yes,5_to_10hr,16,no,above_average,yes,no,yes,yes,B
17,no,no,no,2_to_5hr,17,yes,below_average,no,yes,yes,yes,B
18,no,yes,no,2_to_5hr,18,no,below_average,yes,yes,yes,yes,B
19,no,no,yes,5_to_10hr,18,yes,above_average,no,no,no,no,B
20,no,no,yes,5_to_10hr,15,yes,above_average,no,no,yes,yes,B
21,no,yes,no,2_to_5hr,14,yes,below_average,yes,yes,yes,yes,B
22,no,no,no,2_to_5hr,17,yes,below_average,yes,yes,yes,yes,B
23,yes,yes,no,2_to_5hr,18,yes,below_average,yes,yes,yes,yes,B
24,no,yes,no,5_to_10hr,18,yes,above_average,no,no,yes,yes,B
25,yes,yes,no,5_to_10hr,18,yes,above_average,yes,no,yes,yes,B
26,no,yes,no,2_to_5hr,15,yes,below_average,yes,yes,yes,yes,B
27,yes,yes,no,2_to_5hr,16,no,above_average,yes,no,no,no,C
28,no,yes,no,less_than_2hr,14,no,below_average,yes,yes,no,no,C
29,yes,yes,no,2_to_5hr,17,no,below_average,no,yes,no,no,C
30,yes,yes,no,less_than_2hr,14,no,below_average,yes,yes,no,no,C
31,yes,yes,no,less_than_2hr,15,no,above_average,yes,no,no,no,C
32,yes,yes,no,less_than_2hr,16,no,below_average,yes,yes,no,no,C
33,yes,yes,no,less_than_2hr,18,yes,below_average,yes,yes,no,no,C
34,yes,no,no,less_than_2hr,16,no,below_average,yes,yes,no,no,C
35,yes,yes,no,less_than_2hr,18,no,below_average,yes,yes,no,no,C
36,no,no,no,2_to_5hr,17,no,below_average,yes,no,no,no,C
37,yes,yes,no,2_to_5hr,14,yes,below_average,yes,yes,no,no,C
38,yes,yes,no,less_than_2hr,18,no,below_average,yes,yes,no,no,C
39,yes,no,no,2_to_5hr,15,yes,above_average,no,no,no,no,C
40,yes,yes,no,2_to_5hr,14,no,above_average,no,no,no,no,D
41,yes,yes,no,2_to_5hr,17,no,above_average,no,no,no,no,D
42,yes,yes,no,less_than_2hr,15,no,above_average,no,no,no,no,D
43,yes,yes,no,less_than_2hr,15,no,above_average,no,no,no,no,D
44,yes,yes,no,less_than_2hr,15,no,above_average,no,no,no,no,D
45,yes,yes,no,less_than_2hr,17,yes,above_average,no,no,no,no,D
46,yes,yes,no,less_than_2hr,18,yes,above_average,no,no,no,no,D
47,no,yes,no,2_to_5hr,15,yes,above_average,no,no,yes,no,D
48,yes,no,no,2_to_5hr,18,yes,above_average,no,no,yes,no,D
