school,gender,age,address,famsize,parentstatus,motheredu,fatheredu,motherjob,fatherjob,reason,guardian,traveltime,studytime,failures,schoolsupport,famsupport,extraclasses,extracurriculars,attendednursery,wantshigheredu,internetaccess,romanticrel,famrelrating,freetimerating,gooutrating,alcweekday,alcweekend,healthrating,absences,CLASS
GP,F,18,Urban,greater_than_3,Apart,higher,higher,at_home,teacher,course,mother,15_to_30min,2_to_5hr,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,F
GP,F,17,Urban,greater_than_3,Together,primary,primary,at_home,other,course,father,less_than_15min,2_to_5hr,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,F
GP,F,15,Urban,less_than_3,Together,primary,primary,at_home,other,other,mother,less_than_15min,2_to_5hr,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,F
GP,F,15,Urban,greater_than_3,Together,higher,intermediate,health,services,home,mother,less_than_15min,5_to_10hr,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,B
GP,F,16,Urban,greater_than_3,Together,secondary,secondary,other,other,home,father,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,F
GP,M,16,Urban,less_than_3,Together,higher,secondary,services,other,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,B
GP,M,16,Urban,less_than_3,Together,intermediate,intermediate,other,other,home,mother,less_than_15min,2_to_5hr,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,C
GP,F,17,Urban,greater_than_3,Apart,higher,higher,other,teacher,home,mother,15_to_30min,2_to_5hr,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,F
GP,M,15,Urban,less_than_3,Apart,secondary,intermediate,services,other,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,A
GP,M,15,Urban,greater_than_3,Together,secondary,higher,other,other,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,B
GP,F,15,Urban,greater_than_3,Together,higher,higher,teacher,health,reputation,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,C
GP,F,15,Urban,greater_than_3,Together,intermediate,primary,services,other,reputation,father,30min_to_1hr,5_to_10hr,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,C
GP,M,15,Urban,less_than_3,Together,higher,higher,health,services,course,father,less_than_15min,less_than_2hr,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,B
GP,M,15,Urban,greater_than_3,Together,higher,secondary,teacher,other,course,mother,15_to_30min,2_to_5hr,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,C
GP,M,15,Urban,greater_than_3,Apart,intermediate,intermediate,other,other,home,other,less_than_15min,5_to_10hr,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,B
GP,F,16,Urban,greater_than_3,Together,higher,higher,health,other,home,mother,less_than_15min,less_than_2hr,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,B
GP,F,16,Urban,greater_than_3,Together,higher,higher,services,services,reputation,mother,less_than_15min,5_to_10hr,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,B
GP,F,16,Urban,greater_than_3,Together,secondary,secondary,other,other,reputation,mother,30min_to_1hr,2_to_5hr,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,F
GP,M,17,Urban,greater_than_3,Together,secondary,intermediate,services,services,course,mother,less_than_15min,less_than_2hr,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,F
GP,M,16,Urban,less_than_3,Together,higher,secondary,health,other,home,father,less_than_15min,less_than_2hr,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,F
GP,M,15,Urban,greater_than_3,Together,higher,secondary,teacher,other,reputation,mother,less_than_15min,2_to_5hr,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,B
GP,M,15,Urban,greater_than_3,Together,higher,higher,health,health,other,father,less_than_15min,less_than_2hr,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,C
GP,M,16,Urban,less_than_3,Together,higher,intermediate,teacher,other,course,mother,less_than_15min,2_to_5hr,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,B
GP,M,16,Urban,less_than_3,Together,intermediate,intermediate,other,other,reputation,mother,15_to_30min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,B
GP,F,15,Rural,greater_than_3,Together,intermediate,higher,services,health,course,mother,less_than_15min,5_to_10hr,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,C
GP,F,16,Urban,greater_than_3,Together,intermediate,intermediate,services,services,home,mother,less_than_15min,less_than_2hr,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,F
GP,M,15,Urban,greater_than_3,Together,intermediate,intermediate,other,other,home,mother,less_than_15min,less_than_2hr,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,C
GP,M,15,Urban,greater_than_3,Together,higher,intermediate,health,services,other,mother,less_than_15min,less_than_2hr,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,B
GP,M,16,Urban,less_than_3,Apart,secondary,higher,services,other,home,mother,less_than_15min,2_to_5hr,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,C
GP,M,16,Urban,greater_than_3,Together,higher,higher,teacher,teacher,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,C
GP,M,15,Urban,greater_than_3,Together,higher,higher,health,services,home,mother,less_than_15min,2_to_5hr,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,F
GP,M,15,Urban,greater_than_3,Together,higher,higher,services,services,reputation,mother,15_to_30min,2_to_5hr,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,A
