extraclasses,extracurriculars,college,scholarship,grade
yes,yes,no,no,B
yes,no,no,no,C
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,no,C
yes,yes,yes,no,A
no,no,yes,yes,A
no,no,no,no,F
no,yes,no,no,F
no,no,no,no,F
no,yes,no,no,F
yes,yes,no,no,B
no,yes,no,no,B
no,no,no,no,F
yes,yes,yes,yes,B
no,no,no,no,B
yes,no,yes,yes,A
no,yes,yes,yes,A
yes,no,yes,no,C
no,yes,no,no,F
yes,yes,no,no,C
yes,yes,yes,no,B
yes,no,yes,no,C
yes,no,yes,yes,C
no,yes,no,no,F
yes,no,yes,yes,A
yes,yes,yes,no,C
yes,yes,no,no,B
no,yes,no,no,F
yes,yes,yes,yes,A
no,no,no,no,F
yes,yes,yes,no,C
yes,yes,no,no,B
yes,yes,yes,yes,A
yes,no,yes,yes,A
yes,yes,yes,yes,A
yes,no,yes,no,C
yes,yes,yes,no,C
yes,no,yes,yes,A
no,yes,yes,yes,A
yes,yes,yes,yes,B
yes,yes,yes,yes,A
yes,yes,yes,yes,B
yes,yes,yes,yes,A
yes,no,yes,yes,A
no,yes,yes,no,C
yes,yes,no,no,B
no,yes,yes,yes,A
no,yes,yes,yes,C
no,no,no,no,F
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,no,no,B
yes,yes,yes,yes,B
yes,no,no,no,B
yes,yes,yes,yes,A
yes,yes,yes,yes,B
yes,yes,yes,yes,C
yes,yes,no,no,A
no,yes,no,no,F
no,no,no,no,B
yes,yes,yes,no,A
yes,no,yes,yes,A
yes,yes,yes,no,C
yes,yes,no,no,B
no,yes,yes,no,C
no,yes,yes,no,C
yes,yes,yes,yes,A
no,yes,no,no,F
no,yes,yes,yes,A
no,no,no,no,F
no,yes,yes,no,C
no,yes,no,no,B
yes,yes,yes,yes,A
no,yes,no,no,F
yes,yes,no,no,B
no,yes,yes,no,F
yes,yes,yes,yes,A
no,yes,yes,no,C
no,yes,no,no,F
yes,yes,yes,yes,A
yes,yes,yes,no,C
yes,yes,yes,yes,A
no,yes,no,no,F
no,yes,no,no,B
no,yes,yes,no,C
yes,no,yes,yes,A
yes,yes,no,no,B
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,yes,B
yes,yes,no,no,B
no,yes,yes,no,C
yes,yes,yes,yes,B
no,yes,no,no,F
yes,yes,yes,no,C
yes,yes,yes,yes,C
yes,yes,yes,yes,A
yes,yes,yes,no,C
yes,yes,yes,yes,B
yes,yes,no,no,B
no,yes,yes,yes,C
no,yes,no,no,F
no,yes,no,no,F
yes,no,no,no,B
yes,yes,no,no,A
yes,yes,no,no,A
yes,yes,yes,yes,A
yes,yes,no,no,B
no,yes,no,no,F
yes,yes,yes,no,C
yes,yes,no,no,A
no,yes,no,no,F
yes,yes,no,no,B
no,yes,no,no,F
yes,yes,no,no,B
no,no,no,no,F
yes,yes,yes,no,C
no,yes,yes,no,C
yes,yes,yes,yes,A
no,yes,no,no,F
no,no,no,no,F
yes,yes,no,no,B
yes,yes,yes,yes,A
no,yes,no,no,F
yes,no,yes,no,C
yes,yes,no,no,B
yes,no,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,yes,A
no,no,no,no,C
no,yes,no,no,F
yes,no,yes,yes,B
yes,yes,yes,yes,A
yes,yes,yes,no,C
no,yes,yes,yes,B
no,no,yes,no,C
yes,no,no,no,B
yes,yes,yes,no,C
yes,yes,yes,no,C
yes,yes,yes,no,C
yes,yes,yes,no,C
yes,yes,yes,yes,A
yes,yes,yes,no,C
yes,yes,yes,yes,A
yes,no,yes,yes,A
yes,yes,yes,yes,B
yes,yes,yes,yes,A
yes,no,yes,yes,A
no,yes,no,no,F
yes,no,no,no,B
yes,yes,no,no,F
yes,yes,yes,yes,A
no,yes,no,no,F
no,yes,yes,no,C
yes,yes,yes,yes,A
yes,yes,yes,no,C
yes,no,yes,yes,A
yes,yes,yes,yes,A
no,no,no,no,F
yes,yes,no,no,A
no,no,no,no,F
no,yes,no,no,F
yes,no,no,no,F
yes,yes,yes,yes,A
yes,no,yes,yes,A
no,no,no,no,B
no,yes,no,no,F
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,no,no,no,C
no,yes,no,no,F
no,yes,no,no,F
yes,yes,no,no,B
no,no,no,no,B
yes,yes,yes,no,C
yes,yes,yes,no,C
no,no,no,no,F
yes,yes,no,no,B
yes,yes,yes,yes,B
no,no,no,no,F
yes,no,yes,yes,A
yes,yes,yes,yes,A
yes,yes,no,no,B
yes,yes,no,no,B
no,yes,no,no,F
yes,yes,yes,yes,A
no,yes,yes,no,C
yes,yes,yes,yes,A
no,no,yes,no,C
yes,no,no,no,B
yes,yes,yes,yes,B
no,yes,yes,no,C
no,yes,no,no,F
yes,yes,yes,yes,A
no,yes,no,no,B
no,yes,no,no,B
no,yes,no,no,F
no,yes,yes,no,C
yes,no,yes,no,C
yes,no,yes,yes,A
yes,no,yes,yes,A
yes,yes,yes,yes,A
no,yes,no,no,F
yes,yes,yes,no,C
yes,yes,no,no,B
no,yes,yes,yes,B
yes,no,yes,no,C
yes,yes,yes,yes,B
no,yes,no,no,F
yes,yes,yes,no,C
yes,yes,no,no,A
yes,yes,no,no,F
no,yes,yes,no,C
no,yes,yes,yes,B
yes,yes,no,no,B
no,yes,no,no,F
yes,no,yes,yes,A
yes,yes,no,no,B
yes,yes,no,no,F
no,yes,no,no,F
yes,yes,no,no,A
no,yes,yes,yes,B
yes,yes,yes,yes,A
yes,yes,no,no,A
yes,yes,yes,yes,A
no,no,yes,yes,B
yes,yes,yes,yes,A
yes,no,no,no,B
yes,yes,yes,no,A
yes,yes,yes,yes,A
no,yes,yes,no,C
yes,yes,no,no,A
yes,no,no,no,F
yes,yes,yes,yes,A
yes,yes,yes,yes,A
yes,yes,yes,yes,B
yes,yes,yes,no,C
yes,yes,yes,yes,A
yes,yes,yes,yes,B
yes,yes,no,no,B
no,no,no,no,F
yes,no,yes,yes,A
yes,yes,yes,yes,A
yes,no,yes,yes,A
yes,no,yes,yes,A
yes,no,no,no,B
yes,no,yes,yes,A
yes,yes,no,no,B
no,yes,no,no,F
no,no,no,no,F
yes,yes,no,no,B
yes,no,yes,yes,A
yes,no,yes,yes,B
yes,yes,yes,yes,A
no,yes,yes,yes,A
yes,yes,yes,yes,B
yes,no,no,no,B
yes,yes,yes,yes,C
yes,yes,yes,no,C
yes,yes,no,no,A
yes,yes,no,no,B
no,no,yes,no,C
no,yes,no,no,B
yes,yes,yes,yes,A
yes,no,yes,yes,B
yes,yes,no,no,B
no,yes,no,no,F
yes,yes,no,no,B
no,yes,yes,no,C
yes,no,no,no,B
no,no,no,no,B
no,no,no,no,F
yes,yes,yes,no,C
no,yes,yes,no,F
yes,yes,yes,yes,A
no,yes,no,no,F
no,yes,yes,yes,B
yes,yes,yes,yes,A
yes,no,yes,yes,A
